"killer_x","killer_y","killer_z","victim_x","victim_y","victim_z","killer_side","victim_side","match_checksum"
-737.497864,-2302.311768,-179.96875,-795.348389,-1306.157715,-167.96875,3,2,"45959b056841cf0b"
-263.750366,-1905.463013,-167.96875,-592.098511,-2153.638916,-179.96875,2,3,"45959b056841cf0b"
0.0,0.0,0.0,-1395.596191,-2256.561523,-229.183228,0,2,"45959b056841cf0b"
-869.773926,34.681683,-53.96875,-816.90686,-783.790588,-221.96875,3,2,"45959b056841cf0b"
-654.143616,-820.768616,-263.96875,-452.814087,-620.552368,-274.724487,3,2,"45959b056841cf0b"
-701.53064,-909.744385,-229.092896,-343.891724,-357.11554,-166.259155,3,2,"45959b056841cf0b"
598.056885,550.194763,-258.372192,249.404144,259.529877,-262.550903,2,3,"45959b056841cf0b"
596.79126,548.082764,-258.499512,304.839935,317.96582,-263.322998,2,3,"45959b056841cf0b"
459.960144,679.939087,-123.96875,1180.964478,298.787872,-252.389648,3,2,"45959b056841cf0b"
-1195.387573,-252.982361,-54.8125,-931.990723,-114.693359,-167.967285,2,3,"45959b056841cf0b"
-295.5354,-797.062805,-167.96875,-591.007874,-757.717529,-261.96875,3,2,"45959b056841cf0b"
-797.738586,-910.489502,-167.96875,388.039612,-171.886169,-167.117615,3,2,"45959b056841cf0b"
-1648.577637,860.997192,-47.96875,-1462.37439,668.476807,-47.96875,3,2,"45959b056841cf0b"
299.798676,-1595.996582,-175.96875,-518.27478,-1521.290405,-39.96875,2,3,"45959b056841cf0b"
62.166496,-2060.931152,-39.96875,40.545914,-1934.790039,-39.96875,2,3,"45959b056841cf0b"
-769.03894,-1729.530273,-178.521606,23.580244,-1930.573242,-39.96875,3,2,"45959b056841cf0b"
58.142059,-1985.423584,-167.96875,-757.447937,-1691.429321,-174.711548,2,3,"45959b056841cf0b"
-1263.828979,-2435.011963,-190.933044,-253.948425,-2142.520264,-173.320435,3,2,"45959b056841cf0b"
-643.420471,-2184.885742,-179.96875,-1071.447632,-2496.152588,-167.96875,2,3,"45959b056841cf0b"
-451.781616,-1592.096436,-39.96875,-582.632568,-2168.17041,-179.96875,3,2,"45959b056841cf0b"
1152.670654,303.864594,-255.58313,840.960938,500.71283,-252.283752,3,2,"45959b056841cf0b"
1129.845215,227.555069,-232.868408,910.678467,587.29248,-214.515625,3,2,"45959b056841cf0b"
1119.431641,208.901154,-224.512085,1036.075684,520.853821,-262.171936,3,2,"45959b056841cf0b"
1118.359131,172.570831,-207.501221,983.685425,659.596008,-252.622803,3,2,"45959b056841cf0b"
1027.808472,532.357483,-262.151367,1119.217285,172.814072,-207.679932,2,3,"45959b056841cf0b"
656.358826,520.842957,-257.59967,1115.275879,350.367371,-261.432007,3,2,"45959b056841cf0b"
395.005402,-1698.401245,-209.467773,117.633698,-1475.221436,-175.96875,2,3,"45959b056841cf0b"
108.702454,-1477.543579,-175.96875,396.382568,-1694.087646,-210.156372,3,2,"45959b056841cf0b"
571.357117,-1618.658447,-263.96875,119.835526,-1462.484253,-175.96875,2,3,"45959b056841cf0b"
-509.670166,-1518.942261,-39.96875,137.813446,-1552.994385,-148.453125,3,2,"45959b056841cf0b"
-145.584473,-2164.399658,-167.96875,35.946213,-1421.195435,-173.163208,3,2,"45959b056841cf0b"
9.11712,-1444.406616,-170.480286,-177.131409,-2161.585449,-167.96875,2,3,"45959b056841cf0b"
